contract_symbol,ticker,underlying,option_type,valuation_date,expiration_date,time_to_maturity_days,time_to_maturity_years,strike,bid,mid,ask,last,underlying_price,implied_volatility,intrinsic_value,extrinsic_value,bid_size,ask_size,open_interest,volume,in_the_money,first_traded_at,last_updated_at,delta,gamma,theta,vega,rho,market_price,moneyness,log_moneyness,bid_ask_spread_ratio,implied_vol,repriced,calibration_error
NVDA260320C00207500,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,207.5,0.83,0.845,0.86,0.89,182.48,,0.0,0.845,34,38,9119,4777,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,0.845,1.137110916264796,0.12849076169462037,0.03550295857988169,0.4374972954134668,0.8449999999747355,-2.5264457192974987e-11
NVDA260320C00210000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,210.0,0.66,0.67,0.68,0.66,182.48,,0.0,0.67,20,52,122773,28829,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,0.67,1.150811047786059,0.14046695274133625,0.02985074626865674,0.44072964336479964,0.6700000000000141,1.4099832412739488e-14
NVDA260320C00212500,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,212.5,0.52,0.53,0.54,0.56,182.48,,0.0,0.53,71,38,7756,773,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,0.53,1.1645111793073215,0.15230141038833905,0.03773584905660381,0.44400825078923284,0.5300000000000331,3.3084646133829665e-14
NVDA260320C00215000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,215.0,0.42,0.425,0.43,0.44,182.48,,0.0,0.425,27,27,19848,6180,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,0.425,1.178211310828584,0.16399745015153033,0.023529411764705903,0.4487453698409928,0.4249999999998,-2.0000667788622195e-13
NVDA260320C00217500,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,217.5,0.34,0.345,0.35,0.36,182.48,,0.0,0.345,51,32,1843,1393,False,2026-02-27 14:30:00,2026-03-02 21:00:00,,,,,,0.345,1.1919114423498467,0.1755582725526063,0.02898550724637668,0.4545214220640702,0.34500000001322917,1.322919551682844e-11
NVDA260320C00220000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,220.0,0.29,0.295,0.3,0.29,182.48,,0.0,0.295,6,322,85153,4760,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,0.295,1.2056115738711093,0.18698696837622905,0.0338983050847458,0.46445694641564067,0.2950000000000328,3.2807090377673376e-14
NVDA260320C00225000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,225.0,0.2,0.205,0.21,0.21,182.48,,0.0,0.205,124,45,10945,1801,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,0.205,1.2330118369136345,0.20945982422828763,0.04878048780487796,0.47886954862449327,0.2050000000001253,1.2531642390456454e-13
NVDA260320C00230000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,230.0,0.15,0.155,0.16,0.15,182.48,,0.0,0.155,210,321,59312,1292,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,0.155,1.2604120999561597,0.23143873094706285,0.06451612903225812,0.49826313147560547,0.15499999999998382,-1.6181500583911657e-14
NVDA260320C00235000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,235.0,0.11,0.115,0.12,0.13,182.48,,0.0,0.115,247,47,4568,1542,False,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,0.115,1.2878123629986848,0.25294493616802644,0.08695652173913039,0.5146225756266622,0.11499999999252397,-7.476033681008687e-12
NVDA260320P00130000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,130.0,0.19,0.195,0.2,0.2,182.48,,0.0,0.195,62,34,35188,534,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,0.195,0.7124068391056555,-0.33910612752055,0.05128205128205133,0.7518672827718933,0.19500000000000162,1.609823385706477e-15
