contract_symbol,ticker,underlying,option_type,valuation_date,expiration_date,time_to_maturity_days,time_to_maturity_years,strike,bid,mid,ask,last,underlying_price,implied_volatility,intrinsic_value,extrinsic_value,bid_size,ask_size,open_interest,volume,in_the_money,first_traded_at,last_updated_at,delta,gamma,theta,vega,rho,market_price,moneyness,log_moneyness,bid_ask_spread_ratio,implied_vol,repriced,calibration_error,model_vol,model_price,price_error,abs_price_error,relative_price_error,abs_relative_price_error,vol_error,abs_vol_error,maturity_bucket,moneyness_bucket
NVDA260320P00172500,NVDA,NVDA,put,2026-03-03,2026-03-20,17,0.04654346338124572,172.5,4.5,4.55,4.6,4.57,180.05,,0.0,4.55,65,23,5690,4482,False,2026-02-23 14:30:00,2026-03-03 21:00:00,,,,,,4.55,0.9580672035545681,-0.04283735362346988,0.0219780219780219,0.5172641142317238,4.549999999990128,-9.872103134966892e-12,0.5123927492434028,4.4818969567793445,-0.0681030432206553,0.0681030432206553,-0.01496770180673743,0.01496770180673743,-0.00487136498832097,0.00487136498832097,0.05,atm
NVDA260320P00197500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,197.5,16.9,16.975,17.05,16.9,182.48,,15.02,1.955,52,2,3053,209,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,16.975,1.0823103901797457,0.07909800636504397,0.008836524300441951,0.43999222573199354,16.974999999999994,-7.105427357601002e-15,0.43277240565195957,16.88711289588909,-0.08788710411091216,0.08788710411091216,-0.005177443541143573,0.005177443541143573,-0.007219820080033967,0.007219820080033967,0.05,otm_call/itm_put
NVDA260320C00135000,NVDA,NVDA,call,2026-03-02,2026-03-20,18,0.049281314168377825,135.0,47.8,48.075,48.35,47.96,182.48,,47.48,0.595,12,26,26637,50,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,48.075,0.7398071021481807,-0.30136579953770304,0.01144045761830482,0.7650362967991509,48.07499999999999,-1.4210854715202004e-14,0.7954921502158884,48.16640401964176,0.09140401964175737,0.09140401964175737,0.0019012796597349425,0.0019012796597349425,0.03045585341673751,0.03045585341673751,0.05,deep_otm_put/itm_call
NVDA260320P00187500,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,187.5,10.0,10.05,10.1,10.0,182.48,,5.02,5.03,26,22,3880,480,True,2026-02-23 14:30:00,2026-03-02 21:00:00,,,,,,10.05,1.0275098640946954,0.027138267434332963,0.009950248756218869,0.45462897245212347,10.050000000057707,5.7706728284756537e-11,0.4446909012199915,9.892801203094862,-0.1571987969051385,0.1571987969051385,-0.015641671333844625,0.015641671333844625,-0.009938071232131973,0.009938071232131973,0.05,atm
NVDA260320C00190000,NVDA,NVDA,call,2026-03-03,2026-03-20,17,0.04654346338124572,190.0,3.2,3.225,3.25,3.22,180.05,,0.0,3.225,70,1,117988,14297,False,2025-01-15 14:30:00,2026-03-03 21:00:00,,,,,,3.225,1.0552624271035822,0.053789482065601774,0.015503875968992192,0.4421583201532676,3.2250000000000867,8.659739592076221e-14,0.43355865691630313,3.1078342640572743,-0.11716573594272583,0.11716573594272583,-0.03633046075743437,0.03633046075743437,-0.008599663236964483,0.008599663236964483,0.05,otm_call/itm_put
NVDA260320C00185000,NVDA,NVDA,call,2026-03-05,2026-03-20,15,0.04106776180698152,185.0,6.0,6.025,6.05,6.06,183.34,,0.0,6.025,108,11,57692,12195,False,2025-01-15 14:30:00,2026-03-05 21:00:00,,,,,,6.025,1.0090542162103195,0.009013472544695188,0.008298755186721962,0.45155075747203155,6.024999999779851,-2.2014923217739124e-10,0.4565065429756076,6.098401894699862,0.07340189469986136,0.07340189469986136,0.012182887087113918,0.012182887087113918,0.00495578550357606,0.00495578550357606,0.04,atm
NVDA260320P00135000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,135.0,0.27,0.275,0.28,0.27,182.48,,0.0,0.275,105,28,52154,3977,False,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,0.275,0.7398071021481807,-0.30136579953770304,0.03636363636363639,0.7177075284910401,0.2749999999937076,-6.292411036668e-12,0.7954921502158884,0.48696216493840083,0.2119621649384008,0.2119621649384008,0.7707715088669119,0.7707715088669119,0.07778462172484824,0.07778462172484824,0.05,deep_otm_put/itm_call
NVDA260320C00142000,NVDA,NVDA,call,2026-03-06,2026-03-20,14,0.038329911019849415,142.0,35.6,37.1,38.6,41.6,177.82,,35.82,1.28,55,5,1,0,True,2026-03-05 14:30:00,2026-03-06 21:00:00,,,,,,37.1,0.7985603419187943,-0.22494474509173215,0.08086253369272237,0.861772896332064,37.10000000000004,3.552713678800501e-14,0.7604766945720286,36.64600229973749,-0.4539977002625122,0.4539977002625122,-0.012237134777965288,0.012237134777965288,-0.1012962017600354,0.1012962017600354,0.04,deep_otm_put/itm_call
NVDA260320C00217500,NVDA,NVDA,call,2026-03-03,2026-03-20,17,0.04654346338124572,217.5,0.19,0.195,0.2,0.2,180.05,,0.0,0.195,143,43,2919,351,False,2026-02-27 14:30:00,2026-03-03 21:00:00,,,,,,0.195,1.2079977783948903,0.18896426043385453,0.05128205128205133,0.4499943736634747,0.19499999999931195,-6.880607195114408e-13,0.4849480039469918,0.30042710545930174,0.10542710545930173,0.10542710545930173,0.540651822868214,0.540651822868214,0.034953630283517056,0.034953630283517056,0.05,deep_otm_call/itm_put
NVDA260320P00195000,NVDA,NVDA,put,2026-03-02,2026-03-20,18,0.049281314168377825,195.0,14.95,15.025,15.1,14.8,182.48,,12.52,2.505,62,2,20780,2190,True,2025-01-15 14:30:00,2026-03-02 21:00:00,,,,,,15.025,1.0686102586584831,0.06635898058761422,0.009983361064891871,0.4400904733960724,15.025000000000006,5.329070518200751e-15,0.4323833870844597,14.92232539231523,-0.10267460768477044,0.10267460768477044,-0.006833584538087883,0.006833584538087883,-0.007707086311612654,0.007707086311612654,0.05,otm_call/itm_put
