line_index,portfolio,product_id,source_sheet,underlying,quantity,product_type,status,price,delta,gamma,vega,theta,rho,maturity_years,strike,error_message
75,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
76,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
77,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
78,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
79,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
80,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
81,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
82,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
83,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
84,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
85,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
86,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
87,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
88,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
89,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
90,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
91,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
92,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
93,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
94,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
95,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
96,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
97,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
98,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
99,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
100,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
101,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
102,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
103,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
104,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
105,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
106,default_portfolio,1,autocalls,AAPL,1.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,"Unsupported product row: source_sheet='autocalls', product_type='<na>'"
107,default_portfolio,<NA>,structured_notes,AAPL,100.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,boolean value of NA is ambiguous
108,default_portfolio,<NA>,structured_notes,AAPL,100.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,boolean value of NA is ambiguous
109,default_portfolio,<NA>,structured_notes,AAPL,100.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,boolean value of NA is ambiguous
110,default_portfolio,<NA>,structured_notes,AAPL,100.0,<na>,unsupported,,0.0,0.0,0.0,0.0,0.0,,,boolean value of NA is ambiguous
